,x,y,words
208,-0.9058449,-48.27621,public
209,-15.548865,29.094278,run
210,-46.55225,0.8172019,Friday
211,-5.275418,53.766808,set
212,-44.865513,5.9916716,month
213,-19.975477,25.43602,top
214,-28.408783,6.9117956,billion
215,-47.42715,0.29535654,Tuesday
216,1.3064516,42.177616,come
217,-46.62656,0.18596841,Monday
218,35.762737,49.397724,She
219,-31.559336,-21.699121,city
220,-3.714455,-2.6205091,place
221,-44.184666,1.7520634,night
222,-23.547586,13.589076,six
223,3.4782526,-0.89594,each
224,-47.237347,0.6719273,Thursday
225,-27.868465,8.848919,"###,###"
226,-47.056995,0.021745272,Wednesday
227,13.340325,6.795858,here
228,29.57487,8.950348,You
229,-12.069819,-30.591286,group
230,20.898317,7.743957,really
231,19.407682,33.159687,found
232,39.631294,42.279354,As
233,13.307995,33.655777,used
234,-28.711477,14.255653,3
235,16.462828,2.4825451,lot
236,26.204844,9.847207,'m
237,-0.9789137,-43.51906,money
238,3.7315443,44.955235,put
239,-38.367054,30.58455,games
240,32.371086,-6.8080554,support
241,8.559721,-29.481384,program
242,-21.035168,8.854127,half
243,7.771421,-22.93159,report
244,-18.821976,-20.629425,family
245,-46.096153,10.061719,months
246,20.091467,-4.380715,number
247,-9.323972,-38.037777,officials
248,25.283127,9.944118,am
249,-7.258854,-9.7554035,former
250,6.119393,-6.8800898,own
251,-13.550108,-15.999308,man
252,-46.185394,1.7704257,Saturday
253,18.752125,1.4350748,too
254,40.903076,-1.8765272,better
255,-45.391747,10.694303,days
256,-1.8664896,43.34472,came
257,-11.892371,19.356514,lead
258,-7.9746847,-20.24009,life
259,-38.938347,-33.80007,American
260,-29.653286,19.202269,##-##
261,24.502546,32.973392,show
262,-12.137312,9.494427,past
263,9.115498,50.86488,took
264,5.4838758,20.429426,added
265,32.173534,12.389055,expected
266,11.855222,21.723629,called
267,40.86577,-0.41629928,great
268,-31.609655,-28.00683,State
269,11.653027,-36.770756,services
270,-16.157513,-20.21204,children
271,-18.548826,32.57746,hit
272,-29.451235,-18.176765,area
273,17.10753,-34.80312,system
274,3.3892775,-0.69115967,every
275,-40.26283,12.444041,pm
276,47.431923,-14.860516,big
277,11.616203,-36.764977,service
278,-20.86475,11.971625,few
279,-31.614752,8.403259,per
280,-8.303624,-33.66924,members
281,-46.54711,1.8380957,Sunday
282,-9.248936,6.1550536,early
283,-27.828583,24.688122,point
284,-4.899634,19.539843,start
285,12.069946,-48.687508,companies
286,16.542261,3.8531833,little
287,-28.079391,-1.7609808,&
288,-2.6280763,-14.704583,case
289,-9.411687,10.29188,ago
290,-28.955574,-30.842142,local
291,3.903892,24.416489,according
292,11.659664,6.547992,never
293,-29.31965,13.824934,5
294,2.6067314,7.3105335,without
295,16.065866,-47.561897,sales
296,-4.106222,0.75682896,until
297,-2.0337603,43.618732,went
298,-42.837795,29.16029,players
299,-24.591167,22.09671,##th
300,-51.655064,-26.050356,New_York
301,-29.261503,33.043068,won
302,7.8550806,-54.95368,financial
303,24.401808,-21.509754,news
304,-29.252396,14.842509,4
305,41.728855,42.609882,When
306,5.193122,-5.7002816,share
307,-20.016533,12.298571,several
308,-44.4643,36.871227,free
309,-5.233223,6.457012,away
310,-33.071983,11.433649,##.##
311,4.424898,8.825594,already
312,29.013683,42.16722,On
313,13.711942,-49.8118,industry
314,28.777819,13.508664,'ll
315,11.91474,19.944149,call
316,35.381626,41.361202,With
317,-23.177023,-25.171206,students
318,-11.78131,15.166348,line
319,17.966068,41.074986,available
320,-32.927353,-24.883352,County
321,23.09606,40.089817,making
322,3.150454,56.32521,held
323,-20.06652,21.97555,final
324,-39.59367,13.067707,#:##
325,-20.146677,-63.444344,power
326,17.198729,-17.599117,plan
327,30.62432,14.709688,might
328,-16.883524,6.364475,least
329,22.391653,25.770254,look
330,-3.099802,6.8393683,forward
331,15.017452,45.740837,give
332,32.334057,41.689964,At
333,-5.2323585,2.77257,again
334,-8.072514,9.887325,later
335,1.5259807,-7.248371,full
336,32.309692,17.004665,must
337,17.295563,6.459491,things
338,49.03474,-14.343351,major
339,-16.679258,-27.05961,community
340,7.6909003,26.70254,announced
341,-11.571847,49.36108,open
342,-5.9216046,-5.5876226,record
343,4.744266,26.122404,reported
344,-5.2391486,-17.80459,court
345,3.8766296,-16.088146,working
346,35.41613,16.361023,able
347,16.999325,7.4265213,something
348,-14.736836,-44.534264,president
349,-3.357816,-21.565805,meeting
350,16.71909,54.677742,keep
351,-52.1087,3.3547308,March
352,-0.3566508,-7.5150514,future
353,14.280308,2.801473,far
354,0.7193855,-21.137035,deal
355,-32.718243,-21.792315,City
356,-51.197136,2.3570518,May
357,6.404802,-34.48983,development
358,-25.313608,-28.261267,University
359,19.760685,33.83168,find
360,-7.5623083,2.246464,times
361,34.22409,43.112217,After
362,-17.657951,-37.276897,office
363,-9.819337,18.725426,led
364,5.8664465,-4.1180854,among
365,-51.140995,3.133795,June
366,-7.056565,32.852497,increase
367,-40.579548,-39.433815,China
368,-66.24537,-13.395091,John
369,11.175596,5.1295834,whether
370,19.391077,-21.332008,cost
371,18.52197,-26.210068,security
372,4.8570485,-17.5893,job
373,8.332266,8.897143,less
374,-10.135355,-43.066055,head
375,-23.345007,14.687014,seven
376,6.1413198,-36.997276,growth
377,-16.173899,43.959274,lost
378,1.9534655,13.970593,pay
379,22.856081,25.500683,looking
380,15.87452,42.70054,provide
381,-29.784649,14.491076,6
382,33.826405,14.788425,To
383,17.917496,-17.699455,plans
384,20.022245,-41.423367,products
385,-16.98913,-8.622426,car
386,-11.581405,10.666566,recent
387,58.59239,13.77018,hard
388,19.37453,8.024811,always
389,-1.6186315,15.747986,include
390,-11.366027,-20.014416,women
391,-0.6639559,1.360341,across
392,2.5359182,-51.974316,tax
393,32.14024,-29.205505,water
394,-51.824203,2.7364438,April
395,29.790966,32.826874,continue
396,51.50681,-10.901371,important
397,-16.164854,11.018921,different
398,-12.718114,51.89621,close
399,-30.466698,14.58429,7
400,46.56758,40.336967,One
401,-9.298156,6.2346644,late
402,22.33339,-14.244113,decision
403,-0.05532636,-6.603505,current
404,33.746883,-18.478651,law
405,-12.170766,6.9813867,within
406,-0.93513465,2.6174057,along
407,-38.46204,27.800587,played
408,-0.282217,39.38629,move
409,-37.54974,-33.71286,United_States
410,33.072422,9.117423,enough
411,27.315895,53.967896,become
412,-35.23175,15.74042,side
413,-30.698347,-32.031746,national
414,8.665898,-43.896072,Inc.
415,12.902087,-8.440027,results
416,-1.1148202,-18.679607,level
417,-18.359566,46.180363,loss
418,16.617897,-56.260544,economic
419,-44.8568,28.801863,coach
420,-33.460224,-12.922708,near
421,8.789246,44.754925,getting
422,19.450872,-53.437595,price
423,-18.442562,-40.00486,Department
424,-2.5024552,-24.991459,event
425,-22.524885,21.836466,fourth
426,35.97951,1.7802831,change
427,38.766018,53.646614,All
428,45.099766,-16.320948,small
429,-22.87668,-39.963936,board
430,-29.88316,-34.452103,National
431,39.144096,40.949604,So
432,-16.289862,20.088646,goal
433,10.131471,51.3082,taken
434,-12.481928,4.449681,field
435,19.415861,-53.541195,prices
